A3 A2 A1 A0 B3 B2 B1 B0 Cin S3
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0
0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 0 1 0 1 0
0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 1 1 1 0
0 0 0 0 0 1 0 0 0 0
0 0 0 0 0 1 0 0 1 0
0 0 0 0 0 1 0 1 0 0
0 0 0 0 0 1 0 1 1 0
0 0 0 0 0 1 1 0 0 0
0 0 0 0 0 1 1 0 1 0
0 0 0 0 0 1 1 1 0 0
0 0 0 0 0 1 1 1 1 1
0 0 0 0 1 0 0 0 0 1
0 0 0 0 1 0 0 0 1 1
0 0 0 0 1 0 0 1 0 1
0 0 0 0 1 0 0 1 1 1
0 0 0 0 1 0 1 0 0 1
0 0 0 0 1 0 1 0 1 1
0 0 0 0 1 0 1 1 0 1
0 0 0 0 1 0 1 1 1 1
0 0 0 0 1 1 0 0 0 1
0 0 0 0 1 1 0 0 1 1
0 0 0 0 1 1 0 1 0 1
0 0 0 0 1 1 0 1 1 1
0 0 0 0 1 1 1 0 0 1
0 0 0 0 1 1 1 0 1 1
0 0 0 0 1 1 1 1 0 1
0 0 0 0 1 1 1 1 1 0
0 0 0 1 0 0 0 0 0 0
0 0 0 1 0 0 0 0 1 0
0 0 0 1 0 0 0 1 0 0
0 0 0 1 0 0 0 1 1 0
0 0 0 1 0 0 1 0 0 0
0 0 0 1 0 0 1 0 1 0
0 0 0 1 0 0 1 1 0 0
0 0 0 1 0 0 1 1 1 0
0 0 0 1 0 1 0 0 0 0
0 0 0 1 0 1 0 0 1 0
0 0 0 1 0 1 0 1 0 0
0 0 0 1 0 1 0 1 1 0
0 0 0 1 0 1 1 0 0 0
0 0 0 1 0 1 1 0 1 1
0 0 0 1 0 1 1 1 0 1
0 0 0 1 0 1 1 1 1 1
0 0 0 1 1 0 0 0 0 1
0 0 0 1 1 0 0 0 1 1
0 0 0 1 1 0 0 1 0 1
0 0 0 1 1 0 0 1 1 1
0 0 0 1 1 0 1 0 0 1
0 0 0 1 1 0 1 0 1 1
0 0 0 1 1 0 1 1 0 1
0 0 0 1 1 0 1 1 1 1
0 0 0 1 1 1 0 0 0 1
0 0 0 1 1 1 0 0 1 1
0 0 0 1 1 1 0 1 0 1
0 0 0 1 1 1 0 1 1 1
0 0 0 1 1 1 1 0 0 1
0 0 0 1 1 1 1 0 1 0
0 0 0 1 1 1 1 1 0 0
0 0 0 1 1 1 1 1 1 0
0 0 1 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 1 0
0 0 1 0 0 0 0 1 0 0
0 0 1 0 0 0 0 1 1 0
0 0 1 0 0 0 1 0 0 0
0 0 1 0 0 0 1 0 1 0
0 0 1 0 0 0 1 1 0 0
0 0 1 0 0 0 1 1 1 0
0 0 1 0 0 1 0 0 0 0
0 0 1 0 0 1 0 0 1 0
0 0 1 0 0 1 0 1 0 0
0 0 1 0 0 1 0 1 1 1
0 0 1 0 0 1 1 0 0 1
0 0 1 0 0 1 1 0 1 1
0 0 1 0 0 1 1 1 0 1
0 0 1 0 0 1 1 1 1 1
0 0 1 0 1 0 0 0 0 1
0 0 1 0 1 0 0 0 1 1
0 0 1 0 1 0 0 1 0 1
0 0 1 0 1 0 0 1 1 1
0 0 1 0 1 0 1 0 0 1
0 0 1 0 1 0 1 0 1 1
0 0 1 0 1 0 1 1 0 1
0 0 1 0 1 0 1 1 1 1
0 0 1 0 1 1 0 0 0 1
0 0 1 0 1 1 0 0 1 1
0 0 1 0 1 1 0 1 0 1
0 0 1 0 1 1 0 1 1 0
0 0 1 0 1 1 1 0 0 0
0 0 1 0 1 1 1 0 1 0
0 0 1 0 1 1 1 1 0 0
0 0 1 0 1 1 1 1 1 0
0 0 1 1 0 0 0 0 0 0
0 0 1 1 0 0 0 0 1 0
0 0 1 1 0 0 0 1 0 0
0 0 1 1 0 0 0 1 1 0
0 0 1 1 0 0 1 0 0 0
0 0 1 1 0 0 1 0 1 0
0 0 1 1 0 0 1 1 0 0
0 0 1 1 0 0 1 1 1 0
0 0 1 1 0 1 0 0 0 0
0 0 1 1 0 1 0 0 1 1
0 0 1 1 0 1 0 1 0 1
0 0 1 1 0 1 0 1 1 1
0 0 1 1 0 1 1 0 0 1
0 0 1 1 0 1 1 0 1 1
0 0 1 1 0 1 1 1 0 1
0 0 1 1 0 1 1 1 1 1
0 0 1 1 1 0 0 0 0 1
0 0 1 1 1 0 0 0 1 1
0 0 1 1 1 0 0 1 0 1
0 0 1 1 1 0 0 1 1 1
0 0 1 1 1 0 1 0 0 1
0 0 1 1 1 0 1 0 1 1
0 0 1 1 1 0 1 1 0 1
0 0 1 1 1 0 1 1 1 1
0 0 1 1 1 1 0 0 0 1
0 0 1 1 1 1 0 0 1 0
0 0 1 1 1 1 0 1 0 0
0 0 1 1 1 1 0 1 1 0
0 0 1 1 1 1 1 0 0 0
0 0 1 1 1 1 1 0 1 0
0 0 1 1 1 1 1 1 0 0
0 0 1 1 1 1 1 1 1 0
0 1 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 1 0
0 1 0 0 0 0 0 1 0 0
0 1 0 0 0 0 0 1 1 0
0 1 0 0 0 0 1 0 0 0
0 1 0 0 0 0 1 0 1 0
0 1 0 0 0 0 1 1 0 0
0 1 0 0 0 0 1 1 1 1
0 1 0 0 0 1 0 0 0 1
0 1 0 0 0 1 0 0 1 1
0 1 0 0 0 1 0 1 0 1
0 1 0 0 0 1 0 1 1 1
0 1 0 0 0 1 1 0 0 1
0 1 0 0 0 1 1 0 1 1
0 1 0 0 0 1 1 1 0 1
0 1 0 0 0 1 1 1 1 1
0 1 0 0 1 0 0 0 0 1
0 1 0 0 1 0 0 0 1 1
0 1 0 0 1 0 0 1 0 1
0 1 0 0 1 0 0 1 1 1
0 1 0 0 1 0 1 0 0 1
0 1 0 0 1 0 1 0 1 1
0 1 0 0 1 0 1 1 0 1
0 1 0 0 1 0 1 1 1 0
0 1 0 0 1 1 0 0 0 0
0 1 0 0 1 1 0 0 1 0
